,Hotels,Prices,Descriptions,Full_Descriptions
110,Hotel Best Auto Hogar,"€ 1,121",1 single bed,"Set on Parallel Avenue, Hotel Auto Hogar is just opposite Parallel Metro Station and 10 minutes’ walk from the Ramblas. It offers air-conditioned rooms with private bathrooms.

All rooms include a flat-screen TV with satellite channels. The private bathroom comes with a hairdryer and vanity mirror.

Some of Barcelona’s most popular theatres can be found within 5 minutes’ walk, while Montjuïc hill is 15 minutes' walk from the hotel. The Fira Exhibition Centre is just over 1 km away.

The Auto Hogar Hotel’s restaurant serves Mediterranean dishes, and is open 7 days a week. The hotel also has a café.

The hotel reception offers free newspapers, and can arrange bicycle and car hire."
111,Yomo Hostal BCN Port,"€ 1,086",Beds: 1 double or 2 singles,"This guest house offers free Wi-Fi in a location by Barcelona Port. Yomo Hostal BCN Port is just 100 metres from Las Ramblas and 400 metres from the Gothic Quarter.

Paral•lel Metro is a short walk away. This offers direct access to Plaça Catalunya, Plaça Espanya and the Sagrada Familia. The funicular to Montjuic also leaves from here.

The guest house is set opposite the Cruise Terminals, 10 minutes from Barcelona Beach. There are many buses and bicycle lanes nearby.

All rooms at the Yomo Hostal BCN Port have a TV, heating and air conditioning. Standard rooms are en suite and economy rooms have a shared bathroom.

Family rooms and rooms for disabled guests are available. Daily cleaning is provided."
112,Casa Lolita,"€ 1,539",1 double bed,"Situated in Barcelona, 2.9 km from Somorrostro Beach and 800 metres from the centre, Casa Lolita features air-conditioned accommodation with free WiFi, and a terrace. The property is set 2.9 km from Barceloneta Beach, 1 km from Palau de la Musica Catalana and 700 metres from Tivoli Theatre. The accommodation offers a lift, a shared kitchen and luggage storage for guests.

At the guest house, every unit is fitted with a wardrobe. Some units have a balcony and/or a patio with city or inner courtyard views. All units in the guest house are fitted with a flat-screen TV with streaming services and with satellite channels.

Popular points of interest near the guest house include Passeig de Gracia, Passeig de Gracia Metro Station and Casa Batllo. The nearest airport is Barcelona El Prat Airport, 14 km from Casa Lolita."
113,"Casa Consell Gran Via, Guest House","€ 1,503",2 single beds,"Casa Consell Gran Via, Guest House offers value-for-money and free Wi-Fi on Gran Vía, in Barcelona’s famous Eixample district. It is set 700 metres from Plaça Catalunya and Passeig de Gràcia.

The guesthouse is only 500 metres from Nord Bus Station. There is easy access to Tetuán and Girona Metro Stations.

The guesthouse is set in a historic building it has elegant décor and original features. Guests can enjoy a full equipped shared kitchen and complimentary coffee and tea during the stay.

Casa Consell Gran Via, Guest House is near many famous Modernista buildings. These include Gaudí’s Casa Batlló and the Sagrada Família. The Gothic Quarter and the Cathedral are also nearby.

Some rooms have a balcony or terrace with street views. They have an en suite bathroom, with typical ceramic tiles."
114,Hostal Operaramblas,"€ 1,281",Beds: 1 double or 2 singles,"Hostal Operaramblas is situated less than 100 metres from Las Ramblas and Liceu Metro Station. This guest house features rooms with private bathrooms, a 24-hour front desk and free Wi-Fi.

The Operaramblas’ rooms offers simple décor with tiled floors. Each room has heating and a telephone.

The guest house has a drinks machine and sells snacks in the reception, where there is also a computer with internet access.

The guest house has an ideal location in the centre of Barcelona. It is 5 minutes’ walk from the Gothic Quarter, where there are a range of cafés, bars and restaurants. The city’s cathedral is 500 metres from the Opera and the Old Port is less than 10 minutes’ walk away."
115,"Hotel SOFIA Barcelona, in The Unbound Collection by Hyatt","€ 1,862",1 large double bed,"Hotel Sofia Barcelona is set on Barcelona's Diagonal Avenue, a 5-minute walk from FC Barcelona’s Camp Nou Stadium. It features free WiFi throughout, on-site restaurants and stunning city views. Guests have free access to a bright, modern 24-hour gym with a variety of equipment.

Designer rooms at Sofia offer home automation technology, a 49-inch Smart TV, a safe, and air conditioning. Their private bathroom includes Natura Bissé amenities, bathrobes and slippers.

The hotel offers several gastronomic spaces, including SOFIA Be So restaurant serving traditional dishes, and Impar Restaurant, which serves fresh Mediterranean dishes prepared with international culinary techniques. It also features a spacious outdoor terrace.

Guests will also find a sophisticated book cafe, Philosofia, which serves confectionery and fresh pastries, to eat in or take away.

Sofia Oasis Wellness & Spa houses more than 1000 m² space for well-being, including water circuits, saunas and steam baths. You can relax with one of the range of treatments available onsite and coordinated by expert therapists.

Sofia Barcelona, in The Unbound Collection by Hyatt is 400 metres from Maria Cristina Metro Station and the central Plaza España Square is 3 metro stops away. L’Illa Diagonal Shopping Centre is 15 minutes away on foot

We only accept dogs up to 18 kg in weight, with a maximum of one per room. We do not accept any other pets

For pets.
Dogs classified as dangerous breeds are not allowed.
Pets must comply with current health regulations.
They must be supervised by an adult at all times and steady on a leash when going through public areas.
€100 will be charged for deep cleaning of the room at the time of departure. (Service dogs are exempt from said fee)
€25 per pet per day will be charged in addition to the room rate."
116,Hesperia Barcelona Barri Gòtic,"€ 1,413",1 double bed,"Hesperia Barcelona Barri Gòtic is in Barcelona’s Gothic Quarter, just 100 metres from the port and 500 metres from Las Ramblas.

Barceloneta Beach is a 15-minute stroll from the Hesperia Barcelona Barri Gotic.

Its bright, modern rooms offer free WiFi and a flat-screen TV. They also have air conditioning or heating and a safe. The private bathrooms come with a hairdryer and toiletries.

You can find a range of lively bars in the surrounding streets.

Barcelona Aquarium and Maremagnum Shopping Centre are 800 metres away."
117,Capri by Fraser Barcelona,"€ 1,347",Beds: 1 double or 2 singles,"This motorcycle-friendly hotel is 3 Metro stops from Plaza Catalunya and 15 minutes’ walk from the Barcelona’s beaches. There is free WiFi available throughout.

Capri by Fraser Barcelona offers chic air-conditioned and spacious suites and apartments with a flat-screen cable TV and a seating area. There is a fully-equipped kitchenette, a work desk and a safe, and the private bathroom comes with a hairdryer and amenities.

The property has a free self-service laundry room open 24 hours a day and a gym.

For guests coming by motorcycle, Capri by Fraser offers free indoor parking with direct elevator to the rooms and a “pit stop” service including complete toolkit for small repairs and chain lubricant, free suede, helmet visor cleaner, battery charger and compressor to check the pressure level of tyres.

Capri by Fraser Barcelona offers a buffet breakfast every day and a set menu at lunch time during week days. Room service is also available.

The hotel has a 24-hour front desk."
118,Ilunion Almirante,"€ 1,517",Beds: 1 double or 2 singles,"Located between the Gothic Quarter and the fashionable Born district, this stylish hotel has a fitness centre and free WiFi in all areas.

Barcelona Cathedral is just 200 metres from the Ilunion Almirante, and guests can walk to the famous Las Ramblas in less than 10 minutes. Jaume I Metro Station is 300 metres from the hotel.

Rooms feature wooden furniture and an en suite bathroom with marble finishes. They all include a large flat-screen TV with satellite channels, safe and minibar.

This hotel is officially adapted for guests with reduced mobility, accessible rooms are available on request, also for people with auditory and visual impairment.

The Ilunion Almirante features a stylish breakfast room where an à-la-carte breakfast is served daily. Room service is available during limited hours.

This hotel is officially adapted for guests with reduced mobility."
119,Hotel Ronda Lesseps,"€ 1,352",1 double bed,"The Hotel Ronda Lesseps is a quiet and familiar establishment, with two beautiful interior terraces full of plants that allow our guests to relax during their stay in our city.

The Hotel is located in the metropolitan heart of Barcelona, with very good communication by public transport, very close to the historic district of Gràcia and just at a ten minutes’ walk from Antoni Gaudí's Park Güell.

License number: HB-004338"
120,Hotel Cantón,"€ 2,766","2 beds (1 single, 1 large double)","Hotel Cantón is situated in central Barcelona, less than 300 metres from Las Ramblas and the city’s Old Port. It offers 24-hour reception and rooms with satellite TV and free Wi-Fi access throughout.

The Cantón has brightly decorated rooms with private bathrooms. Each has a fridge, air conditioning and heating.

The Cantón serves a daily breakfast and has a vending machine selling hot drinks. Guests can make use of the hotel’s TV room, where there is also computer.

The Cantón has easy access to many of Barcelona’s tourist attractions and has a tour desk. Plaza Reial is less than 5 minutes’ walk from the hotel and there are several bars and restaurants within walking distance.

Drassanes Metro Station is under 500 metres from the Cantón and Sants Train Station is 5 stops away."
